user id,movie id
ur15311310,tt7131622|tt8178486|tt0084987|tt11024272|tt4815122|tt12592252|tt11981644|tt10003008|tt0085636|tt0289043|tt7653254|tt3011960|tt1553656|tt8398600|tt3830558|tt3348730|tt4034228|tt2543164|tt10039344|tt2396135|tt5886046|tt2094262|tt8001226|tt4332232|tt8404256|tt2379713|tt0120082|tt10682266|tt0120694|tt4695012|tt4178092|tt6394270|tt7286456|tt0120524|tt6723592|tt0077766|tt2109184|tt0416315|tt2249364|tt3111426|tt0433362|tt2674806|tt15402912|tt1058017|tt5137338|tt9179616|tt0086661|tt0127376|tt1935859|tt8772262|tt1308728|tt7016936|tt0080339|tt3235888|tt9026184|tt2584384|tt8259142|tt0108255|tt10228230|tt6644200|tt1340138|tt0149261|tt1525366|tt0123755|tt6905696|tt10485750|tt3256226|tt6118426|tt1778304|tt5052448|tt4052882|tt2575968|tt1837492|tt1288558|tt0077413|tt12994306|tt1540011|tt0455857|tt8663516|tt6259380|tt2387433|tt5294518|tt0309593|tt2401256|tt1976009|tt7686464|tt0119345|tt4357394|tt6508228|tt1502407|tt0436992|tt1396484|tt10642480|tt8425404|tt2724064|tt0085750|tt0230600|tt7978672|tt5687612|tt6656238|tt2005374|tt6127004|tt1691916|tt0088930|tt0438488|tt1596365|tt0119081|tt4761916|tt0036855|tt0469021|tt1661199|tt5919756|tt7846844|tt11307814|tt9495224|tt4046784|tt3300542|tt8594324|tt4030600|tt1179933|tt5022702|tt1014763|tt9359220|tt5027774|tt6823368|tt1399664|tt0257106|tt6658720|tt0288477|tt1219289|tt5814060|tt6566576|tt1520211|tt0080130|tt0418819|tt2935476|tt8991526|tt1694021|tt3469046|tt5269594|tt5797184|tt5638642|tt6889090|tt6908274|tt0068646|tt0175142|tt2184339|tt0073195|tt3120280|tt0087182|tt0261983|tt1073498|tt2932536|tt3605418|tt1430509|tt0092563|tt11750282|tt0056751|tt2798920|tt10720914|tt4779682|tt2548396|tt6111574|tt1179056|tt4560008|tt2403021|tt0482606|tt1156398|tt1188729|tt0116287|tt1844624|tt10620868|tt4733640|tt13143964|tt0089670|tt0056937|tt3910804|tt7043012|tt3272066|tt0111161|tt11846996|tt2701582|tt9139220|tt2140379|tt7668870|tt0988045|tt0329101|tt0363988|tt3228774|tt11110622|tt11649104|tt1008108|tt2105044|tt9204128|tt4667888|tt2303687|tt0805647|tt1911644|tt1285009|tt0220506|tt4786282|tt1385826|tt9348692|tt1270797|tt4263482|tt11823076|tt3741834|tt4062536|tt1999995|tt7985576|tt9642938|tt3399484|tt7768192|tt3921180|tt0095705|tt6359956|tt5606664|tt1709143|tt1758810|tt1524930|tt3335606|tt11905962|tt4287320|tt0099365|tt0974015|tt5431890|tt2802144|tt10590066|tt0086154|tt1139668|tt1386697|tt3794354|tt7493974|tt2209764|tt0110148|tt8155288|tt1273221|tt10826054|tt0134084|tt10155932|tt1663662|tt1262416|tt2555736|tt1226837|tt5013056|tt10665338|tt5697572|tt5362988|tt3402236|tt8178650|tt8579674|tt0443706|tt0945513|tt7315484|tt9067020|tt4154916|tt0100802|tt0077631|tt9131050|tt10939214|tt1457767|tt5028340|tt8806524|tt8228288|tt1213663|tt7459986|tt2473682|tt1838544|tt1441395|tt13138834|tt2096673|tt0088621|tt3286052|tt7349950|tt1160419|tt0089218|tt8201186|tt3661210|tt5716464|tt0072500|tt2084970|tt9893250|tt6079516|tt3381008|tt1734537|tt2103217|tt0095271|tt1515091|tt0082495|tt1241317|tt1883367|tt13651632|tt0373883|tt9704568|tt5639976|tt5159414|tt1893256|tt5598292|tt4972582|tt2085059|tt7526498|tt2948356|tt7134908|tt10893694|tt4179452|tt5913798|tt0487831|tt2126355|tt0498381|tt4160708|tt13430420|tt4731136|tt6772950|tt10954652|tt1631867|tt1693592|tt4574334|tt7549996|tt7217374|tt2788710|tt0367594|tt0988820|tt9788012|tt10948746|tt1707386|tt7329656|tt1499658|tt1862079|tt2377322|tt4686844|tt7909970|tt0837563|tt11285548|tt0104070|tt6535880|tt6794990|tt1454468|tt4192812|tt4986098|tt3976144|tt6859806|tt0075860|tt5014882|tt2554274|tt9140560|tt5028002|tt0130018|tt4374208|tt0103919|tt6538034|tt0795461|tt7125860|tt3659388|tt4513678|tt4225622|tt5473364|tt8633478|tt0090605|tt0799949|tt0310455|tt3747572|tt1825683|tt0117571|tt5308322|tt3581932|tt2918436|tt0862620|tt1601913|tt1161864|tt7366338|tt9704798|tt6712390|tt1187064|tt10962368|tt0454876|tt3631112|tt7126948|tt3201640|tt6021284|tt1454029|tt4192782|tt9701942|tt2708480|tt5140878|tt10767748|tt7608028|tt7608028|tt13678304|tt0084049|tt6217306|tt7040874|tt6266538|tt3882082|tt0071877|tt9140342|tt1785635|tt1082807|tt1853739|tt8787802|tt5690360|tt3748172|tt0081505|tt3567288|tt5015548|tt0411008|tt0088414|tt1392214|tt0259733|tt6271042|tt0837562|tt1869347|tt9642982|tt3498622|tt9698480|tt8001106|tt2737304|tt0419706|tt0053494|tt5635086|tt9169784|tt1663202|tt9012876|tt9794630|tt0449487|tt6751668|tt1242432|tt0115355|tt1888075|tt1856101|tt1959332|tt1618371|tt1475582|tt6966692|tt11403434|tt0077651|tt0070291|tt7550000|tt6334354|tt1598778|tt10539608|tt0078748|tt7520794|tt2382320|tt4094724|tt6402468|tt0182576|tt2870612|tt3203528|tt3622592|tt1718915|tt1072748|tt2004420|tt2316204|tt7902072|tt7423538|tt3079380|tt5420376|tt0810819|tt3713166|tt0074937|tt11639300|tt0113253|tt9062784|tt0118401|tt7713068|tt8946378|tt12994356|tt3647998|tt0457433|tt1355644|tt0962736|tt0093437|tt0094525|tt3860916|tt0077269|tt0103874|tt10731768|tt9701940|tt6729080|tt0036775|tt3986820|tt1727824|tt7073710|tt1950186|tt9644058|tt5592248|tt0387764|tt2386237|tt2267998|tt1190080|tt4547056|tt2235695|tt1790864|tt2101441|tt3174376|tt6264654|tt1741273|tt0327162|tt0087928|tt7923220|tt0362357|tt7737528|tt4682786|tt2339741|tt13610872|tt5246700|tt1894476|tt9698442|tt4276618|tt0081912|tt7979142
ur64798417,tt4106514|tt1895315|tt4815122|tt1987680|tt3910736|tt4633690|tt5093026|tt0360556|tt4765284|tt12808182|tt7221772|tt5834760|tt6156584|tt4332232|tt8404256|tt1697800|tt11316854|tt5116302|tt11640018|tt5071412|tt8060328|tt1724970|tt1954804|tt12528166|tt1618434|tt9170108|tt13265876|tt9585676|tt5912064|tt2238032|tt0072562|tt12861508|tt6211976|tt7937254|tt8110640|tt4181232|tt3256226|tt10333426|tt2712740|tt1131724|tt4357394|tt6508228|tt5690810|tt6977338|tt3420504|tt1842530|tt6760876|tt14199590|tt4463894|tt2481498|tt11946300|tt10933680|tt5834204|tt1691916|tt10308928|tt5078852|tt11307814|tt9495224|tt6079772|tt0499097|tt4217392|tt9340860|tt9742794|tt1536537|tt4877122|tt11815960|tt8829830|tt5797184|tt5862166|tt10329024|tt6908274|tt0408985|tt9620288|tt5822564|tt1759744|tt5748448|tt8299768|tt9820556|tt10919486|tt10121392|tt6738136|tt7058080|tt4647692|tt7043012|tt8310474|tt8206668|tt7149730|tt3708886|tt5296406|tt8285216|tt2261227|tt9373688|tt1918734|tt11823076|tt6468322|tt8545482|tt2126357|tt6301712|tt3335606|tt4154858|tt7339248|tt11905962|tt7587890|tt4411584|tt7599942|tt1464763|tt10313066|tt1545304|tt1412528|tt9054192|tt9283920|tt6048596|tt9203694|tt2076298|tt2160105|tt4733624|tt1034385|tt13432484|tt10919420|tt6902332|tt10418662|tt7569576|tt4465572|tt10696896|tt0452046|tt7315484|tt4694544|tt8664988|tt8228288|tt10127684|tt15141632|tt10228134|tt14040910|tt5968394|tt8085790|tt6494418|tt6902676|tt3721936|tt7153488|tt6079516|tt5397194|tt5420210|tt4364202|tt11794642|tt4131496|tt2085059|tt7661390|tt10314462|tt1608180|tt5215088|tt8111088|tt0475784|tt6292852|tt5085522|tt8368406|tt11525644|tt7053188|tt4986098|tt13024674|tt1595859|tt13061914|tt8075260|tt3833480|tt3501112|tt14168118|tt4139588|tt6475714|tt6076226|tt9606374|tt4547194|tt4479380|tt10230994|tt6513656|tt11274100|tt11456054|tt8461224|tt3758172|tt3205802|tt1059475|tt4876134|tt11804152|tt4052886|tt4052886|tt8242084|tt3201640|tt7991608|tt9387250|tt6506264|tt10696784|tt3758814|tt9686708|tt9735470|tt6857376|tt7984766|tt7634968|tt9421570|tt7605074|tt7711170|tt6456326|tt12801814|tt4731148|tt7638348|tt6654210|tt5144174|tt8615822|tt1981558|tt9794630|tt11839500|tt11196036|tt6742252|tt9731682|tt7550000|tt8201170|tt6402468|tt3203528|tt1986770|tt1798603|tt13382698|tt5737536|tt10831086|tt6372694|tt2443340|tt10451914|tt5865326|tt7178640|tt9568230|tt4136456|tt8707922|tt6820256|tt2716382|tt3860916|tt3749900|tt9691136|tt10228168|tt10731768|tt3626476|tt10327252|tt8110246|tt13269536|tt7645122|tt6882604|tt3876910|tt2076822|tt11576124|tt4474344|tt8956324|tt7456312|tt7923220|tt7664504|tt7440726|tt7737528|tt5246700|tt1064899|tt1833116|tt9664108|tt11656220|tt8143990
ur5424352,tt4971344|tt8178486|tt9421200|tt2106476|tt8244784|tt0381707|tt0118928|tt0479528|tt5862312|tt0851578|tt0152930|tt0096283|tt0094625|tt5052474|tt10970552|tt2109184|tt2118624|tt1985949|tt0396555|tt0089013|tt2359024|tt1259571|tt3294200|tt3255590|tt1610996|tt0095776|tt1596350|tt5664636|tt10342730|tt12749596|tt11505682|tt0098627|tt1778304|tt3513548|tt4116284|tt8613070|tt2387433|tt5198068|tt3569230|tt7914416|tt7917178|tt2381941|tt0098354|tt2473510|tt1181791|tt11778118|tt3395184|tt1879030|tt4701182|tt0480669|tt0299172|tt2170439|tt0082089|tt2267968|tt0337563|tt8385148|tt0156887|tt4443658|tt0041473|tt5022702|tt5814060|tt1324999|tt2935476|tt2428170|tt2580382|tt0371606|tt8075496|tt0803096|tt0078935|tt1675434|tt1276419|tt0072354|tt0070460|tt1711525|tt1536044|tt6738136|tt2704998|tt1618442|tt2345737|tt2278871|tt0069841|tt5478478|tt11032374|tt2119543|tt1937149|tt0119698|tt0089908|tt0082951|tt6628394|tt0465502|tt1531901|tt0102293|tt2990140|tt0062861|tt4068576|tt0356634|tt2101341|tt1588170|tt0107120|tt3917506|tt2326554|tt1430626|tt2467046|tt2027136|tt4361050|tt3416742|tt4729430|tt4226388|tt5697572|tt7456310|tt4364194|tt1483797|tt1913166|tt1530509|tt2675914|tt0104029|tt0114108|tt1365519|tt0106387|tt0105121|tt2369135|tt1964418|tt0113247|tt2473682|tt0088814|tt1270835|tt0069427|tt7349950|tt2980592|tt1160419|tt3564472|tt2103217|tt12448082|tt11332750|tt0347149|tt1321511|tt4520988|tt0864835|tt2404738|tt2854926|tt1924429|tt0084719|tt1167660|tt0060390|tt3480822|tt1714208|tt6205872|tt0095031|tt10954652|tt0059170|tt0429589|tt0464913|tt0313443|tt2265171|tt6806448|tt1588173|tt7557108|tt4172430|tt7097896|tt3470600|tt0107497|tt5719700|tt8951692|tt2866360|tt0377981|tt10288566|tt4225622|tt1430607|tt1860353|tt3799232|tt1634122|tt0099699|tt2918436|tt0102915|tt10633456|tt1325004|tt4651520|tt7205316|tt0080904|tt1045772|tt4630562|tt0096487|tt7167630|tt4154664|tt1486834|tt0114924|tt0086087|tt7040874|tt1740707|tt7549892|tt3748172|tt0110950|tt0856288|tt1869716|tt1865505|tt0808506|tt0106452|tt0367631|tt2400463|tt2709768|tt0437086|tt4430212|tt0066516|tt6543652|tt1800246|tt1959332|tt0061439|tt6742252|tt6663582|tt6334354|tt1001526|tt2576852|tt1528071|tt0393685|tt0097138|tt3215824|tt1390411|tt5628902|tt5742374|tt0090163|tt1411250|tt1821480|tt0100263|tt0100994|tt1829012|tt4123430|tt1398426|tt1684927|tt1502397|tt10793644|tt1673434|tt4547056|tt5700672|tt0097814|tt4682266|tt3174376|tt0113799|tt0108941|tt0087909|tt6433880|tt2140571|tt7664504|tt2224026|tt0360201|tt0081114|tt5563334|tt0079117
ur23581966,tt7370936|tt0118998|tt10344986|tt0093886|tt0116191|tt0455538|tt0219965|tt0140379|tt0058529|tt0062883|tt0097733|tt0879870|tt7030432|tt0398375|tt1583421|tt0102343|tt0202402|tt1397514|tt6857166|tt0033342|tt0114825|tt0102744|tt0117918|tt0212380|tt0318997|tt0102598|tt3658772|tt0875034|tt0264150|tt4501244|tt5503686|tt0119173|tt0084237|tt0093640|tt0052993|tt0058743|tt0147800|tt0337697|tt3829920|tt0101921|tt0109198|tt0388125|tt0071577|tt0094898|tt0102070|tt2170439|tt0241303|tt8974850|tt0100050|tt0047086|tt0436331|tt7440948|tt0041473|tt1235522|tt8634202|tt1655460|tt0343135|tt1033643|tt0070903|tt0206275|tt0110612|tt0109127|tt0054188|tt0116583|tt0408985|tt1711525|tt0375154|tt0117057|tt0113117|tt0057007|tt0027948|tt2837574|tt0119223|tt1544572|tt1932718|tt0107808|tt2838678|tt0076723|tt0481141|tt2119543|tt0102951|tt0125022|tt0105265|tt0119360|tt4180032|tt0387514|tt1564367|tt0327137|tt0117108|tt0055277|tt5133810|tt1415283|tt0120772|tt0116313|tt0042451|tt6398184|tt1068242|tt0104714|tt2910904|tt0096639|tt1053810|tt0098067|tt0064418|tt0084707|tt0117628|tt2555736|tt5697572|tt0065054|tt0023940|tt0100212|tt0045963|tt6279602|tt0107211|tt0048705|tt0171433|tt5028340|tt0036135|tt0106673|tt0119978|tt0120148|tt0037514|tt2568862|tt5676118|tt7038606|tt4434688|tt0086873|tt0471042|tt5949946|tt0061385|tt0107131|tt0279113|tt0095031|tt0100485|tt0429589|tt6269192|tt0082406|tt0066327|tt0094812|tt0103855|tt4824302|tt0124315|tt0077663|tt0080736|tt0107497|tt0101862|tt0113041|tt0062380|tt0350261|tt0120794|tt6911608|tt0278500|tt0120787|tt0099699|tt0101912|tt0120891|tt0072353|tt3312830|tt0369735|tt0120655|tt1967545|tt0138749|tt0117218|tt0375173|tt5133572|tt0098384|tt0452598|tt1781769|tt0102609|tt5825380|tt0137494|tt0111756|tt0327084|tt0817230|tt0832266|tt0103859|tt3889642|tt0477051|tt0122151|tt0426883|tt0102250|tt0114048|tt0802948|tt1441951|tt0102388|tt0120762|tt1371150|tt0041594|tt0115641|tt0368222|tt0299930|tt0114388|tt0117038|tt0402894|tt0457433|tt0088933|tt0109813|tt1132449|tt2788732|tt1038919|tt0103594|tt0414387|tt0838232|tt0090060|tt4767950|tt2639254|tt4682786|tt0068718|tt1229822|tt0079117|tt0085244|tt1205535|tt0151738
ur79683341,tt5503718|tt13406094|tt2357547|tt0934814|tt2234222|tt8160834|tt1312171|tt1190634|tt0412175|tt10970552|tt2249364|tt8888322|tt8888322|tt3743822|tt3322314|tt6616260|tt6616260|tt7016936|tt7016936|tt3475734|tt2406376|tt2799012|tt2983222|tt9466596|tt12749596|tt4126476|tt1405406|tt0826760|tt1837492|tt1837492|tt1582457|tt6110648|tt10155688|tt2401256|tt7280898|tt2177268|tt1842530|tt8686106|tt0413573|tt1567432|tt8134470|tt11946300|tt7978672|tt6656238|tt5834204|tt4396630|tt0439100|tt9179552|tt2711738|tt0491603|tt10888876|tt6128300|tt0285333|tt5269594|tt9055008|tt6908274|tt8722888|tt4124758|tt4635282|tt5114356|tt10919486|tt2294189|tt3322310|tt7058080|tt2403776|tt1837642|tt5711280|tt2226342|tt7660970|tt0285331|tt0103491|tt8285216|tt6468322|tt6468322|tt4158110|tt7768192|tt3921180|tt7695916|tt1733785|tt7242816|tt0158552|tt6932244|tt6932244|tt6510950|tt1637727|tt0477507|tt7875794|tt7493974|tt11398870|tt1074206|tt8289480|tt1905040|tt6297682|tt7569576|tt10875696|tt1135300|tt1837654|tt7413448|tt4230076|tt8427140|tt8201186|tt8295472|tt8772296|tt11083696|tt1548850|tt9140554|tt11794642|tt8593252|tt2295809|tt2085059|tt7134908|tt7134908|tt0080240|tt6160506|tt5615700|tt6467294|tt6898970|tt6794990|tt5753856|tt4192812|tt6519410|tt8421350|tt1595859|tt7177890|tt1578873|tt5614844|tt8860450|tt2193041|tt8362852|tt6741278|tt7801780|tt2149175|tt2661044|tt9252156|tt3561180|tt1043813|tt8923854|tt5290382|tt3205802|tt3205802|tt8425532|tt6195094|tt4937942|tt5180504|tt2708480|tt5743796|tt8064302|tt4524056|tt9100822|tt9184986|tt8550800|tt6763664|tt2879552|tt13634872|tt8633062|tt9064858|tt3498622|tt7569592|tt0410975|tt4976512|tt7335184|tt0810788|tt2741602|tt2741602|tt7520794|tt1819654|tt8712204|tt5598192|tt7423538|tt5420376|tt2802850|tt8961508|tt2193021|tt8103070|tt8103070|tt7403736|tt0094525|tt4093826|tt0364817|tt10147644|tt4792480|tt0072567|tt1235099|tt7049682|tt3877200|tt7949218|tt8179402|tt4474344|tt4474344|tt1236246|tt10362466|tt7440726|tt8416494|tt2632424|tt8697870|tt3501584|tt2304589|tt0397442
ur14520497,tt5675620|tt0314123|tt2357547|tt0063950|tt3337194|tt1190634|tt0064349|tt3322314|tt0098763|tt0086759|tt0460681|tt2861424|tt9170108|tt1618435|tt0092494|tt0102095|tt3475734|tt0043208|tt0072562|tt1837492|tt6045840|tt6110648|tt0328832|tt0103359|tt0108872|tt0448190|tt7686464|tt5363918|tt0436992|tt2177268|tt0813715|tt0413573|tt0407362|tt5834204|tt3810192|tt0083481|tt0089461|tt0089461|tt9272514|tt0111477|tt8456094|tt0056777|tt0081930|tt1466074|tt0097613|tt1146438|tt7689052|tt0113305|tt3322310|tt0851851|tt1132290|tt2103188|tt0112111|tt6161168|tt7942796|tt1869454|tt0099026|tt0089695|tt1836037|tt2189221|tt0187636|tt11192306|tt3152592|tt0090525|tt1660055|tt7235466|tt0106965|tt0106965|tt3399484|tt0091875|tt3921180|tt0166792|tt0290057|tt0068112|tt0103352|tt7587890|tt0057765|tt4975920|tt1828327|tt0095348|tt2452150|tt0109402|tt0096684|tt2583620|tt3313182|tt5164196|tt0112922|tt0452046|tt9073898|tt0312098|tt1399045|tt2963254|tt1489428|tt1258157|tt4230076|tt0306274|tt5171438|tt0104647|tt1843230|tt0099005|tt0109493|tt1600194|tt0796264|tt0080240|tt8111088|tt7767422|tt0277723|tt0085088|tt8435344|tt0112438|tt0118276|tt7578566|tt4016454|tt0086789|tt0099524|tt0099731|tt7120662|tt5057054|tt2452242|tt6741278|tt5618256|tt0086662|tt7745956|tt10327354|tt1759761|tt0103488|tt0047708|tt0088634|tt0077008|tt7608248|tt0101912|tt0103442|tt0081873|tt1043813|tt1830617|tt11456054|tt3205802|tt0094469|tt0078111|tt0491738|tt5180504|tt0050032|tt0101120|tt0162065|tt7634968|tt4058836|tt0093828|tt0096708|tt3685236|tt0073972|tt2879552|tt0089222|tt0314979|tt4532368|tt9208876|tt7456722|tt0098924|tt0105941|tt1307824|tt0374463|tt10313176|tt0196931|tt3322312|tt0112950|tt5420376|tt1361336|tt1740299|tt5607976|tt0083437|tt4215734|tt4215734|tt2193021|tt7042862|tt3749900|tt0068359|tt5034326|tt3107288|tt6524350|tt0100613|tt0092319|tt0259153|tt0091055|tt1826940|tt3148266|tt0102034|tt4326894|tt5580664
ur71506838,tt8178486|tt8179388|tt13406094|tt9779516|tt12298506|tt12971924|tt0817177|tt8160834|tt6156584|tt7671598|tt1830643|tt10970552|tt4508902|tt5116302|tt1893273|tt8305806|tt9151230|tt7203552|tt9683478|tt4126476|tt11188624|tt10155688|tt6341832|tt5774062|tt6508228|tt13834006|tt10752004|tt6760876|tt9327706|tt11946300|tt7978672|tt6656238|tt6127004|tt10887902|tt9354944|tt5097410|tt7645780|tt13316722|tt6560164|tt9446688|tt8962124|tt11242218|tt8231668|tt5688068|tt3278540|tt7737734|tt8299768|tt11284280|tt13056008|tt10919486|tt7374926|tt9789042|tt11859012|tt7058080|tt11777040|tt11840988|tt9612516|tt2231874|tt5311542|tt8179470|tt10366460|tt9373688|tt1918734|tt7985576|tt12877640|tt4411584|tt9866072|tt7886936|tt10676012|tt11252440|tt5624466|tt10795658|tt10772662|tt10265034|tt8510488|tt8664988|tt4682804|tt9489598|tt8085790|tt11169050|tt6378710|tt9224288|tt11881160|tt10850932|tt1266036|tt12137964|tt9849004|tt5598292|tt11908982|tt7392014|tt6063090|tt9831136|tt8745960|tt5913798|tt10037014|tt5304992|tt9130508|tt11958344|tt11239552|tt7909970|tt7401840|tt3009772|tt9264728|tt5498354|tt5753856|tt8310924|tt1478839|tt8860450|tt9738716|tt11317142|tt10962368|tt1950235|tt8923854|tt8522006|tt10230994|tt11456054|tt6842770|tt8064302|tt6857376|tt10457128|tt6611916|tt5164438|tt7711170|tt9251798|tt12801814|tt10563420|tt8004664|tt9426210|tt9698480|tt7737640|tt8615822|tt6270640|tt10574558|tt9794630|tt9731682|tt11337862|tt7026488|tt8764358|tt6372694|tt7423538|tt5628902|tt8707922|tt10896634|tt10183816|tt7073710|tt7645122|tt6882604|tt6920356|tt13318052|tt11738830|tt8956324|tt10362466|tt7923220|tt4326894|tt9698442|tt7979142
ur0972645,tt4815122|tt4667854|tt0851578|tt5155780|tt0970411|tt2333804|tt9154566|tt2261287|tt1807892|tt0212380|tt3255590|tt0113568|tt7016936|tt5476182|tt0264150|tt0115438|tt0127723|tt0383060|tt0337697|tt0436992|tt0813715|tt0429591|tt8368408|tt5689068|tt1691916|tt0489237|tt0884224|tt0386950|tt0089886|tt8385148|tt11762434|tt0120791|tt1971325|tt0206275|tt4518260|tt3289724|tt8262802|tt0313911|tt1462900|tt0477139|tt2091935|tt1132290|tt1132290|tt1727770|tt0306841|tt9612516|tt0112130|tt0338459|tt0104418|tt10060094|tt1415283|tt1918734|tt2126357|tt2990140|tt1235189|tt0331933|tt2910904|tt0263757|tt0405325|tt7315570|tt4254242|tt0380623|tt1821641|tt0102558|tt0068067|tt2591814|tt0401445|tt4230076|tt6902676|tt1860242|tt3661210|tt0910812|tt5397194|tt1103987|tt1579247|tt0866437|tt0403508|tt0282687|tt5580146|tt1846589|tt4824302|tt6225520|tt0327679|tt0361620|tt1046163|tt0356614|tt5719700|tt3501112|tt0095687|tt2968804|tt0084090|tt4139588|tt1798188|tt1327194|tt6791096|tt0356470|tt1147687|tt6428676|tt1837562|tt0105488|tt4052886|tt8064302|tt0337917|tt3758814|tt0118702|tt0295427|tt0375173|tt7657428|tt1487118|tt0091306|tt1785635|tt3922818|tt0165982|tt4652532|tt0462229|tt0212712|tt0286788|tt0806165|tt0804484|tt0491152|tt5033998|tt2741602|tt0112040|tt0115639|tt2980210|tt5523010|tt0808357|tt1740299|tt3514324|tt0104009|tt1731701|tt0311648|tt0368933|tt0107091|tt1542768|tt0287717|tt4463816|tt6185074|tt1298644|tt2386404|tt1634136|tt8784956|tt2639254|tt7547410|tt0397078|tt7736496|tt0403702|tt0314786|tt2910814|tt0360139
ur40547513,tt2543336|tt7014378|tt4667854|tt7646322|tt5834760|tt6832388|tt6156584|tt10970552|tt10262380|tt3111426|tt10530176|tt12536294|tt5774002|tt1659216|tt12235718|tt9460858|tt6616260|tt9026184|tt6211976|tt9151230|tt4844140|tt10207090|tt6341832|tt6259380|tt6508228|tt5690810|tt9059350|tt7914416|tt11394332|tt7978672|tt10478054|tt5919756|tt11307814|tt9359220|tt2667380|tt9055008|tt2580382|tt13429362|tt5886440|tt10293406|tt5748448|tt11284280|tt9820556|tt4669296|tt13056008|tt11750282|tt10919486|tt1174954|tt4206804|tt7740510|tt2652118|tt5160938|tt11263022|tt11777040|tt7658402|tt13879466|tt9612516|tt9834506|tt2701582|tt1753496|tt11110622|tt12399056|tt10329614|tt8058874|tt12877640|tt2372251|tt9561862|tt2583620|tt5624466|tt1034385|tt1552211|tt10418662|tt6803212|tt4966532|tt10763820|tt11169050|tt6378710|tt6301452|tt5859882|tt11612120|tt4131496|tt5598292|tt13087796|tt10893694|tt5913798|tt11214590|tt7589524|tt5085522|tt5501104|tt13872248|tt5710514|tt5753856|tt4192812|tt13024674|tt11125620|tt4604612|tt4604612|tt2106651|tt2177461|tt7349016|tt10327354|tt5628302|tt10973800|tt0098253|tt8150814|tt9738716|tt10962368|tt1147687|tt6195094|tt9387250|tt2708480|tt2762506|tt7464188|tt6611916|tt8667956|tt13231962|tt11343600|tt7605074|tt11686490|tt7569592|tt11126994|tt4731148|tt12809988|tt1910645|tt10574558|tt11196036|tt6856484|tt10834220|tt11388406|tt1403241|tt5085924|tt7423538|tt5628902|tt12829958|tt2716382|tt10183816|tt3612320|tt5084170|tt10793644|tt7456312|tt7946422|tt9698442|tt7979142
ur4593705,tt5783956|tt6811018|tt11742798|tt2357547|tt1312171|tt2850386|tt0424993|tt8690918|tt3111426|tt3322314|tt5774002|tt9683478|tt0488658|tt6045840|tt2974918|tt0383060|tt12383460|tt3095734|tt4396630|tt10600398|tt1691916|tt7608418|tt8376234|tt11307814|tt0077031|tt11762434|tt0765446|tt12286434|tt7475590|tt9446688|tt8722888|tt9620288|tt0962726|tt5691552|tt0395495|tt10121392|tt0081871|tt3322310|tt9612516|tt10888708|tt9898858|tt11012066|tt11192306|tt13236566|tt8179162|tt4154858|tt0331933|tt10826054|tt1545304|tt2452150|tt4998212|tt0455967|tt4532038|tt11057644|tt6803212|tt6053538|tt0375568|tt4230076|tt8085790|tt5580540|tt10006006|tt10314462|tt10168312|tt11100856|tt5096470|tt4016454|tt1586265|tt1046163|tt1032815|tt8421350|tt9140560|tt11125620|tt5614844|tt4513678|tt1826590|tt3986586|tt8851668|tt5973626|tt8150814|tt7826108|tt6428676|tt1591493|tt7634968|tt0396592|tt1023111|tt9251798|tt4532368|tt9208876|tt8709036|tt0491152|tt1821658|tt7221388|tt12676326|tt11388406|tt8712204|tt10451914|tt1361336|tt6517102|tt6048930|tt10619486|tt10183816|tt0424774|tt3107288|tt9619798|tt5232792|tt10160804|tt2076822|tt4474344|tt0089393|tt7736496|tt3501584|tt9664108|tt1621039|tt7979142
