iter = 10 , loss = 61.90132010844687 , RMSE train = 1.4085410000252154
iter = 20 , loss = 36.854585984342634 , RMSE train = 1.0587741888880642
iter = 30 , loss = 22.120206346964235 , RMSE train = 0.9916746460540167
iter = 40 , loss = 13.331932662228239 , RMSE train = 0.9825636596512229
iter = 50 , loss = 8.074437608701071 , RMSE train = 0.9813860367085077
iter = 60 , loss = 4.927150443556132 , RMSE train = 0.9812361941727975
iter = 70 , loss = 3.042828247104671 , RMSE train = 0.9812176859015758
iter = 80 , loss = 1.9146249247381215 , RMSE train = 0.9812156276415259
iter = 90 , loss = 1.239129270108184 , RMSE train = 0.9812154964781878
iter = 100 , loss = 0.8346852506714765 , RMSE train = 0.9812155340700874
iter = 10 , loss = 62.14955329141083 , RMSE train = 1.421506218289801
iter = 20 , loss = 36.9872845136907 , RMSE train = 1.0607679901212523
iter = 30 , loss = 22.197105625965136 , RMSE train = 0.9897600049956177
iter = 40 , loss = 13.377149103143948 , RMSE train = 0.9799825441332041
iter = 50 , loss = 8.100914309955268 , RMSE train = 0.978682199512701
iter = 60 , loss = 4.9424395336939435 , RMSE train = 0.9785029884267139
iter = 70 , loss = 3.0514241548380268 , RMSE train = 0.9784758221705813
iter = 80 , loss = 1.9192144405868492 , RMSE train = 0.9784709035572103
iter = 90 , loss = 1.2413202942602553 , RMSE train = 0.9784697793279555
iter = 100 , loss = 0.8354403033417085 , RMSE train = 0.9784694654494607
iter = 10 , loss = 61.67430509332604 , RMSE train = 1.4258162113200936
iter = 20 , loss = 36.700642904907006 , RMSE train = 1.0639657746404672
iter = 30 , loss = 22.02554607854677 , RMSE train = 0.9926883588374346
iter = 40 , loss = 13.274842033651561 , RMSE train = 0.9826703117882055
iter = 50 , loss = 8.040141646465166 , RMSE train = 0.9812865222848833
iter = 60 , loss = 4.906553343379069 , RMSE train = 0.9810778310239777
iter = 70 , loss = 3.0304441546385763 , RMSE train = 0.9810401406475632
iter = 80 , loss = 1.907161331922422 , RMSE train = 0.9810314546131691
iter = 90 , loss = 1.2346127903252275 , RMSE train = 0.9810289803124144
iter = 100 , loss = 0.8319337010092226 , RMSE train = 0.9810281824450063
iter = 10 , loss = 61.66896734779587 , RMSE train = 1.4111722550938197
iter = 20 , loss = 36.71193577909942 , RMSE train = 1.0614227336347963
iter = 30 , loss = 22.03528453678614 , RMSE train = 0.9944948392849801
iter = 40 , loss = 13.282021937331841 , RMSE train = 0.9854678218839081
iter = 50 , loss = 8.045524417224298 , RMSE train = 0.9843477702672737
iter = 60 , loss = 4.9108056415349175 , RMSE train = 0.9842221647379942
iter = 70 , loss = 3.0340051235868373 , RMSE train = 0.9842128311120039
iter = 80 , loss = 1.9103037226448778 , RMSE train = 0.9842141225904549
iter = 90 , loss = 1.2375028910802364 , RMSE train = 0.9842151995170425
iter = 100 , loss = 0.8346721027213986 , RMSE train = 0.9842156709292974
iter = 10 , loss = 61.663115150857706 , RMSE train = 1.410467829990459
iter = 20 , loss = 36.71457703099955 , RMSE train = 1.0619744198567085
iter = 30 , loss = 22.03723365279242 , RMSE train = 0.9947352285186245
iter = 40 , loss = 13.282878493125583 , RMSE train = 0.9854905935385618
iter = 50 , loss = 8.04566152539834 , RMSE train = 0.9842581879615847
iter = 60 , loss = 4.910511593817233 , RMSE train = 0.9840870623221323
iter = 70 , loss = 3.0334558447544184 , RMSE train = 0.9840606862010335
iter = 80 , loss = 1.9096031216691596 , RMSE train = 0.9840557772327228
iter = 90 , loss = 1.2367123122940145 , RMSE train = 0.9840546203458984
iter = 100 , loss = 0.8338279043697415 , RMSE train = 0.9840542897748966
iter = 10 , loss = 27.0024556081243 , RMSE train = 1.0047358236424204
iter = 20 , loss = 7.267676730798776 , RMSE train = 0.9812970680840923
iter = 30 , loss = 2.0822933364603844 , RMSE train = 0.9812135357637205
iter = 40 , loss = 0.7181786406241085 , RMSE train = 0.981215393476748
iter = 50 , loss = 0.3593136156876453 , RMSE train = 0.9812155673122837
iter = 60 , loss = 0.2649049957237166 , RMSE train = 0.981215580160628
iter = 70 , loss = 0.24006839315630046 , RMSE train = 0.9812155810953216
iter = 80 , loss = 0.2335344893259267 , RMSE train = 0.9812155811631097
iter = 90 , loss = 0.23181557868929442 , RMSE train = 0.9812155811680188
iter = 100 , loss = 0.23136337523973868 , RMSE train = 0.9812155811683811
iter = 10 , loss = 26.99363470085665 , RMSE train = 1.0018509528262767
iter = 20 , loss = 7.264554798647206 , RMSE train = 0.9785764869326874
iter = 30 , loss = 2.0804541954323033 , RMSE train = 0.9784692379055391
iter = 40 , loss = 0.7166727282300691 , RMSE train = 0.9784692670036805
iter = 50 , loss = 0.35789505822301426 , RMSE train = 0.9784693132110353
iter = 60 , loss = 0.2635093795368016 , RMSE train = 0.9784693172090257
iter = 70 , loss = 0.23867880463485547 , RMSE train = 0.9784693175302733
iter = 80 , loss = 0.23214648472549207 , RMSE train = 0.9784693175555443
iter = 90 , loss = 0.23042799031734434 , RMSE train = 0.9784693175575004
iter = 100 , loss = 0.2299758962467405 , RMSE train = 0.9784693175576501
iter = 10 , loss = 27.037528118662483 , RMSE train = 1.0044846376146592
iter = 20 , loss = 7.2770982214850015 , RMSE train = 0.9811643193186637
iter = 30 , loss = 2.0846876460189105 , RMSE train = 0.9810298321561016
iter = 40 , loss = 0.7187221508464459 , RMSE train = 0.9810278627817377
iter = 50 , loss = 0.3593701506176292 , RMSE train = 0.9810277700201776
iter = 60 , loss = 0.26483341066110205 , RMSE train = 0.9810277643891805
iter = 70 , loss = 0.2399631012170509 , RMSE train = 0.9810277640434071
iter = 80 , loss = 0.23342032954744799 , RMSE train = 0.9810277640224657
iter = 90 , loss = 0.23169908590222968 , RMSE train = 0.9810277640212303
iter = 100 , loss = 0.23124626867019724 , RMSE train = 0.9810277640211538
iter = 10 , loss = 27.020410219219883 , RMSE train = 1.0061341141924471
iter = 20 , loss = 7.274570949671957 , RMSE train = 0.9842618330390678
iter = 30 , loss = 2.0858788015571075 , RMSE train = 0.9842118441239397
iter = 40 , loss = 0.7208863269724012 , RMSE train = 0.984215631578102
iter = 50 , loss = 0.361789857270018 , RMSE train = 0.9842159368306154
iter = 60 , loss = 0.2673202829274256 , RMSE train = 0.9842159587458055
iter = 70 , loss = 0.24246763188613024 , RMSE train = 0.9842159603066205
iter = 80 , loss = 0.23592950303704807 , RMSE train = 0.9842159604176445
iter = 90 , loss = 0.2342094801197436 , RMSE train = 0.9842159604255407
iter = 100 , loss = 0.2337569838523665 , RMSE train = 0.9842159604261124
iter = 10 , loss = 26.976073629211484 , RMSE train = 1.0065048671216166
iter = 20 , loss = 7.26194415446386 , RMSE train = 0.9840519833044052
iter = 30 , loss = 2.0818796284746712 , RMSE train = 0.9840462661260383
iter = 40 , loss = 0.7191540097416675 , RMSE train = 0.9840535403577976
iter = 50 , loss = 0.3606534868957242 , RMSE train = 0.9840540893079053
iter = 60 , loss = 0.2663406370591545 , RMSE train = 0.9840541281253984
iter = 70 , loss = 0.24152920585425128 , RMSE train = 0.984054130857906
iter = 80 , loss = 0.2350019184222241 , RMSE train = 0.9840541310501462
iter = 90 , loss = 0.23328474697250456 , RMSE train = 0.9840541310636656
iter = 100 , loss = 0.23283300068801915 , RMSE train = 0.984054131064619
iter = 10 , loss = 5.934685954583307 , RMSE train = 0.981268615164657
iter = 20 , loss = 0.5523821923138427 , RMSE train = 0.981215585934446
iter = 30 , loss = 0.24928873498935955 , RMSE train = 0.9812155811536758
iter = 40 , loss = 0.2322204736944317 , RMSE train = 0.981215581168261
iter = 50 , loss = 0.2312592996265298 , RMSE train = 0.9812155811684067
iter = 60 , loss = 0.23120517251458583 , RMSE train = 0.9812155811684015
iter = 70 , loss = 0.23120212442509652 , RMSE train = 0.9812155811684011
iter = 80 , loss = 0.23120195277635638 , RMSE train = 0.9812155811684011
iter = 90 , loss = 0.2312019431102054 , RMSE train = 0.9812155811684011
iter = 100 , loss = 0.23120194256586998 , RMSE train = 0.9812155811684011
iter = 10 , loss = 5.950069375423484 , RMSE train = 0.978496463333398
iter = 20 , loss = 0.5519414326137906 , RMSE train = 0.9784692357017128
iter = 30 , loss = 0.24795464251711305 , RMSE train = 0.9784693172671395
iter = 40 , loss = 0.23083603964461227 , RMSE train = 0.9784693175566451
iter = 50 , loss = 0.22987202899720305 , RMSE train = 0.9784693175576484
iter = 60 , loss = 0.2298177420543502 , RMSE train = 0.978469317557657
iter = 70 , loss = 0.22981468495896998 , RMSE train = 0.9784693175576579
iter = 80 , loss = 0.22981451280278034 , RMSE train = 0.9784693175576579
iter = 90 , loss = 0.22981450310803636 , RMSE train = 0.9784693175576579
iter = 100 , loss = 0.22981450256208985 , RMSE train = 0.9784693175576579
iter = 10 , loss = 5.975957332791564 , RMSE train = 0.9810912871591925
iter = 20 , loss = 0.5545949858097547 , RMSE train = 0.9810277951356324
iter = 30 , loss = 0.24930261868554007 , RMSE train = 0.9810277640889531
